Gene ID,Name,Description,Chromosome,Organism
348,APOE,apolipoprotein E,19,Homo sapiens
7422,VEGFA,vascular endothelial growth factor A,6,Homo sapiens
4524,MTHFR,methylenetetrahydrofolate reductase,1,Homo sapiens
351,APP,amyloid beta precursor protein,21,Homo sapiens
1636,ACE,angiotensin I converting enzyme,17,Homo sapiens
627,BDNF,brain derived neurotrophic factor,11,Homo sapiens
3553,IL1B,interleukin 1 beta,2,Homo sapiens
6622,SNCA,synuclein alpha,4,Homo sapiens
4137,MAPT,microtubule associated protein tau,17,Homo sapiens
22339,Vegfa,vascular endothelial growth factor A,17,Mus musculus
